Determinant	268281	16494	485659	1326	145	231	141295	45550	171228	6197660	19	8647871	11943104	11293887	1202	71	707368	137	92	5605161	2562	5413	71	5383633	35	2046880	1968964	1332549	90066	358747	35	12492	89	59420	321	791769	1485528	3839587	587055	2942
sadkangaroo	470199	12649	898668	12350	129	219	147434	48101	144124	9388990	17	5877835	8009492	9766599	1484	53	780277	131	76	6519697	2298	6224	77	9056881	47	2791288	2714008	1814324	81927	463938	26	6664	87	54927	128	744401	1364259	2691339	756016	2047
jiziwei	284216	10980	481228	1297	124	208	174060	67544	142831	4988517	24	4796844	6558290	5984933	1179	75	665791	140	94	5190729	2283	5241	80	5394620	42	1863026	1787792	1373720	71398	352601	31	4899	106	62210	332	631716	1212686	2756245	480511	1797
cycycy	331217	11680	564306	1340	146	230	155629	59368	172926	4630634	19	5051047	6255575	5504193	1605	75	917197	144	89	7307155	2498	5843	86	5949300	45	2062617	2021613	1439816	77747	459854	32	7450	84	36443	135	446812	1258157	3052422	649203	2303
ascii991218	288191	12786	705286	1623	201	338	479133	168852	241329	5585522	28	3126726	6162973	4633633	2557	231	620133	525	86	6851891	4486	8533	260	4825010	133	1965883	2088031	1751200	90284	416151	57	21271	337	37794	225	831578	1728096	4864778	729995	3974
zzy7896321	383297	15655	785716	24611	176	342	464800	168334	220835	8855289	124	6569724	6559649	5471018	2704	200	738033	447	114	9233836	4737	13923	247	6795825	139	2530006	2669110	2090170	94209	564013	57	19258	300	74171	381	1678583	1849356	4074810	871775	2633
daerduomkch	360851	11074	679049	24554	146	243	186332	55772	162732	10723526	17	5117455	6144778	4528962	1690	41	969307	99	51	9599628	2985	5667	90	6523359	38	2793026	2820074	1708889	98393	589751	22	5629	127	42972	154	1794890	1682582	3310164	791286	2163
memed4	1122293	25427	1756161	61182	251	403	468901	179596	509043	26459267	142	15400559	17510980	14272589	5527	219	2437917	490	152	23633204	8904	24545	255	17828124	174	6257039	6318863	5413898	165645	1656189	70	23372	431	109590	467	12040545	1697774	8591008	2541068	5956
zhenni	4001975	30616	2395281	73507	255	395	208876	70112	722757	39849797	21	19568821	20518715	16281392	5906	98	4018808	210	178	27947957	8072	15797	125	29122931	74	8578522	8435554	7053654	238462	2248071	38	11831	246	130253	251	13480362	1909962	12103870	3024798	7347
ihsgnef	521372	18136	1041606	24718	226	539	835416	288025	453059	13256699	28	8878523	10600276	9508158	2395	129	1252129	229	165	9612781	4016	9173	445	12457069	66	3580272	3764562	2775072	143282	747744	52	11058	430	54566	484	1811855	2319252	6520725	1260326	5307
CosineUFO	844811	23186	1483171	22246	291	512	776032	272731	531049	17051343	28	11029509	16579517	12317195	5414	403	1784145	984	210	20463491	7645	10570	401	11906509	237	4151519	4488323	4030907	131818	1009844	113	44846	567	183731	1310	2777697	2364784	8832396	1356606	5514
anshantby	583673	20654	1024584	36957	205	362	481182	178572	373231	14437588	23	9695213	11460532	9509303	3903	220	1730954	524	140	14176243	6448	7442	254	7653301	133	4001613	4094031	2861491	107023	953347	67	25091	357	70935	256	1960305	1788724	6340878	1297663	4834
chenhao94	465285	16417	1056385	24551	187	282	505748	177541	267830	13824500	27	8262142	10447786	8355638	3556	236	1066463	564	130	9279591	5293	9627	264	8221219	142	3105464	3263888	2519281	94402	660824	71	26347	333	54602	238	888285	1728094	3959936	950972	4104
Ander_cxt	535713	23975	1308422	34295	268	467	550781	195954	458526	16585195	21	15011117	20356849	18963807	4243	247	1936474	550	129	13578901	7437	12951	263	9640619	142	4562515	5126835	3259462	169934	1017081	70	34810	369	90249	439	2683596	2804309	10214630	1220665	6162
secret_jc	509414	20833	1032817	9999999999	196	353	477082	178047	326030	14060851	26	11791076	12201587	9762270	3610	201	1163982	519	136	13772172	6557	11150	241	7088497	122	3870415	3974743	2416124	102811	766429	64	23859	312	49345	222	3809409	1621980	5306539	1101573	4434
yefllower	430697	21880	950581	24595	148	273	202725	60891	336840	14819073	30	17365922	11104542	9443050	2283	86	1912437	167	113	11059701	4348	6588	84	14394218	47	3694032	3572748	2625333	96248	797683	45	18751	170	65251	182	8339213	1909961	6601444	1030081	3787
brokenwing	1079596	16705	1078990	48594	171	310	153621	58923	339147	17480170	47	9145193	13132491	9934065	2560	108	1301212	181	123	14589216	3739	7868	131	15837018	77	3620494	3550946	3113246	134435	863923	41	13608	143	69905	172	1652482	1424901	6192584	1409597	3989
xkszltl	488632	14816	797865	45701	191	297	204767	66005	282733	12915475	24	9103929	11075264	9265186	2014	78	1344746	132	92	11096063	3300	6565	69	7357900	43	3349899	3310623	2149421	111946	815466	37	7980	94	55553	157	2284180	2122175	5776130	947280	2345
legendks	388745	26604	1112460	29506	246	430	755545	266075	381136	15634662	27	8999685	11834207	9602198	4748	401	1341965	996	198	14479612	6374	8997	386	6823843	245	3196170	3640530	3185526	123026	708951	108	45059	532	84292	334	2459707	1894868	6062020	1129659	4117
chensqi	684242	18755	1106124	24805	342	564	796502	282444	501643	14792603	34	12202663	16775258	14134864	2825	113	1978635	297	183	16802641	4880	6850	405	8792849	54	4576597	4490821	2645024	168010	951568	127	11043	602	164880	735	3663430	2592153	8965363	1081518	5381
ahaha	1557116	25046	1953240	61237	277	450	608131	225139	524652	24875984	191	13354044	15820676	13011725	5887	347	2039020	750	176	17767969	9919	33614	308	17257118	300	5928682	6148930	4892988	167761	1555740	94	35188	463	122618	300	2014584	1879696	9091694	1978987	5294
jcAngel	531963	18456	1120397	36874	261	445	698217	261453	385529	13288033	22	9482225	13290187	11390251	4402	308	1339473	780	153	13139255	6554	7075	329	8780947	170	3748959	3976935	2867850	125056	764751	96	37402	462	76987	284	2271155	1955487	6764684	1048599	5373
cheezer	328144	19357	1139114	24682	265	482	755567	266097	368443	11554324	34	7632821	11877529	9785395	4717	413	1127480	1026	235	14228028	6555	8600	403	7661063	251	3114795	3528243	2783799	102669	652959	119	44575	560	52560	324	2091470	1940369	5700312	883490	4273
rauledly	473573	16459	887400	36983	173	417	655227	238392	245329	12924369	23	8215336	11741986	9911883	2398	80	1322793	190	143	13106114	4606	7355	337	7091442	59	3677902	3739726	2073771	113033	751064	39	9748	409	56884	165	1246729	2061551	5342105	1030745	4097
ImaginationZ	607018	22789	1375347	24760	299	525	776032	271198	493550	15679696	27	11559931	14484392	12382296	5225	401	1622480	972	200	19328674	7220	9472	401	8802260	232	3938547	4271487	3712285	129482	929087	114	44066	545	174271	1285	3130164	2425417	8580877	1289876	5306
Goblin911	300080	22316	1420994	29532	276	527	479154	182683	432054	17667024	148	11564367	16319729	14060264	4328	258	1509277	556	194	10125299	7571	13232	256	7953657	189	4765210	4722706	3699098	143135	711610	84	25423	353	96452	342	4000061	2364751	6321983	1544579	4968
airsplay	478216	16419	1008165	36872	191	357	452518	169879	369027	14984924	20	8649573	10636004	8726018	3855	210	1332760	482	119	13645396	5807	7939	282	11314739	125	3762378	3940122	3270509	112428	779524	66	23072	350	67434	407	3674745	1258185	5383595	1218763	3837
HeavnFeel	340959	19278	938132	12623	222	420	751452	278857	351148	10445082	64	10684213	21092476	19573368	3936	347	1195184	907	173	7930250	5755	12342	403	6241312	224	2744485	3034285	2395254	100595	647934	106	42818	527	56932	311	1846413	1606861	5340884	723828	4545
zeonsgtr	547042	26519	1139159	24732	219	392	595841	232806	410746	12719690	27	10122991	12064708	10502983	3637	261	1512076	631	157	8830185	5529	13299	312	12440727	172	3567612	3655848	3048731	139243	840860	77	30782	374	76289	337	2232866	2016097	6249557	1165632	4724
ywk248248	412747	20342	995257	48979	203	392	554891	212335	364432	12486962	184	8708067	12720739	9342514	3633	261	1385347	614	164	14652938	5934	21673	320	8217968	192	3188347	3351499	2751094	108747	913345	83	29267	397	97436	453	2517013	1637153	6202017	984445	4875
vegetable_h	399656	19040	783136	12409	188	298	178154	55273	258240	11054537	25	11881402	16716027	16107571	1797	84	1229420	161	102	7255066	3099	6605	87	7374236	53	3443359	3253387	1997461	96265	573637	47	17933	104	67043	201	706397	1955439	5362620	850065	3335
sy15	513364	18916	1214719	36836	201	349	466848	173977	382227	15186142	22	8069137	11187260	9037522	3500	197	1343493	484	122	13636943	5527	6820	267	13295916	119	3958250	4040576	3540431	137212	787763	69	24076	353	59690	166	1374554	1743244	5865837	1272769	4346
rowdark	297263	18745	932704	24718	259	468	665479	232330	363255	9767039	36	7377854	10118223	9244589	4468	380	1040435	912	227	9738511	6655	7015	374	5684271	223	3020933	3351737	2572764	106841	594827	113	39458	538	57021	424	2092902	1940361	5773447	892914	4243
swrrt_11	447661	16178	1701756	25763	186	289	237535	83413	515033	12584940	65	8179285	12369655	21457419	4974	103	1545734	180	98	11884105	16122	13181	219	8212313	61	4180943	3152282	3694545	122789	949240	47	17607	497	4634	654	9638242	1743221	50362061	1111851	9140
ACMlzb	431740	19407	1087170	32147	203	348	466840	173439	351835	12600060	18	9612715	13325041	11075545	3519	194	1415982	499	137	15711998	6075	7864	227	7091563	105	3884590	3973462	2450646	110653	903861	59	27184	299	53531	213	13487080	1788712	5944893	1123313	4795
